Office,State,state_abb,CD,district_num,district_id,WinnerParty,ID
House,Alabama,AL,AL-01,1,AL01,R,1
House,Alabama,AL,AL-02,2,AL02,R,2
House,Alabama,AL,AL-03,3,AL03,R,3
House,Alabama,AL,AL-04,4,AL04,R,4
House,Alabama,AL,AL-05,5,AL05,R,5
House,Alabama,AL,AL-06,6,AL06,R,6
House,Alabama,AL,AL-07,7,AL07,D,7
House,Alaska,AK,AK-AL,0,AK00,R,8
House,Arizona,AZ,AZ-01,1,AZ01,D,9
House,Arizona,AZ,AZ-02,2,AZ02,D,10
House,Arizona,AZ,AZ-03,3,AZ03,D,11
House,Arizona,AZ,AZ-04,4,AZ04,R,12
House,Arizona,AZ,AZ-05,5,AZ05,R,13
House,Arizona,AZ,AZ-06,6,AZ06,R,14
House,Arizona,AZ,AZ-07,7,AZ07,D,15
House,Arizona,AZ,AZ-08,8,AZ08,R,16
House,Arizona,AZ,AZ-09,9,AZ09,D,17
House,Arkansas,AR,AR-01,1,AR01,R,18
House,Arkansas,AR,AR-02,2,AR02,R,19
House,Arkansas,AR,AR-03,3,AR03,R,20
House,Arkansas,AR,AR-04,4,AR04,R,21
House,California,CA,CA-01,1,CA01,R,22
House,California,CA,CA-02,2,CA02,D,23
House,California,CA,CA-03,3,CA03,D,24
House,California,CA,CA-04,4,CA04,R,25
House,California,CA,CA-05,5,CA05,D,26
House,California,CA,CA-06,6,CA06,D,27
House,California,CA,CA-07,7,CA07,D,28
House,California,CA,CA-08,8,CA08,R,29
House,California,CA,CA-09,9,CA09,D,30
House,California,CA,CA-10,10,CA10,D,31
House,California,CA,CA-11,11,CA11,D,32
House,California,CA,CA-12,12,CA12,D,33
House,California,CA,CA-13,13,CA13,D,34
House,California,CA,CA-14,14,CA14,D,35
House,California,CA,CA-15,15,CA15,D,36
House,California,CA,CA-16,16,CA16,D,37
House,California,CA,CA-17,17,CA17,D,38
House,California,CA,CA-18,18,CA18,D,39
House,California,CA,CA-19,19,CA19,D,40
House,California,CA,CA-20,20,CA20,D,41
House,California,CA,CA-21,21,CA21,D,42
House,California,CA,CA-22,22,CA22,R,43
House,California,CA,CA-23,23,CA23,R,44
House,California,CA,CA-24,24,CA24,D,45
House,California,CA,CA-25,25,CA25,D,46
House,California,CA,CA-26,26,CA26,D,47
House,California,CA,CA-27,27,CA27,D,48
House,California,CA,CA-28,28,CA28,D,49
House,California,CA,CA-29,29,CA29,D,50
House,California,CA,CA-30,30,CA30,D,51
House,California,CA,CA-31,31,CA31,D,52
House,California,CA,CA-32,32,CA32,D,53
House,California,CA,CA-33,33,CA33,D,54
House,California,CA,CA-34,34,CA34,D,55
House,California,CA,CA-35,35,CA35,D,56
House,California,CA,CA-36,36,CA36,D,57
House,California,CA,CA-37,37,CA37,D,58
House,California,CA,CA-38,38,CA38,D,59
House,California,CA,CA-39,39,CA39,D,60
House,California,CA,CA-40,40,CA40,D,61
House,California,CA,CA-41,41,CA41,D,62
House,California,CA,CA-42,42,CA42,R,63
House,California,CA,CA-43,43,CA43,D,64
House,California,CA,CA-44,44,CA44,D,65
House,California,CA,CA-45,45,CA45,D,66
House,California,CA,CA-46,46,CA46,D,67
House,California,CA,CA-47,47,CA47,D,68
House,California,CA,CA-48,48,CA48,D,69
House,California,CA,CA-49,49,CA49,D,70
House,California,CA,CA-50,50,CA50,R,71
House,California,CA,CA-51,51,CA51,D,72
House,California,CA,CA-52,52,CA52,D,73
House,California,CA,CA-53,53,CA53,D,74
House,Colorado,CO,CO-01,1,CO01,D,75
House,Colorado,CO,CO-02,2,CO02,D,76
House,Colorado,CO,CO-03,3,CO03,R,77
House,Colorado,CO,CO-04,4,CO04,R,78
House,Colorado,CO,CO-05,5,CO05,R,79
House,Colorado,CO,CO-06,6,CO06,D,80
House,Colorado,CO,CO-07,7,CO07,D,81
House,Connecticut,CT,CT-01,1,CT01,D,82
House,Connecticut,CT,CT-02,2,CT02,D,83
House,Connecticut,CT,CT-03,3,CT03,D,84
House,Connecticut,CT,CT-04,4,CT04,D,85
House,Connecticut,CT,CT-05,5,CT05,D,86
House,Delaware,DE,DE-AL,0,DE00,D,87
House,Florida,FL,FL-01,1,FL01,R,88
House,Florida,FL,FL-02,2,FL02,R,89
House,Florida,FL,FL-03,3,FL03,R,90
