Office,State,state_abb,CD,district_num,district_id,ID
House,Alabama,AL,AL-01,1,AL01,1
House,Alabama,AL,AL-02,2,AL02,2
House,Alabama,AL,AL-03,3,AL03,3
House,Alabama,AL,AL-04,4,AL04,4
House,Alabama,AL,AL-05,5,AL05,5
House,Alabama,AL,AL-06,6,AL06,6
House,Alabama,AL,AL-07,7,AL07,7
House,Alaska,AK,AK-AL,0,AK00,8
House,Arizona,AZ,AZ-01,1,AZ01,9
House,Arizona,AZ,AZ-02,2,AZ02,10
House,Arizona,AZ,AZ-03,3,AZ03,11
House,Arizona,AZ,AZ-04,4,AZ04,12
House,Arizona,AZ,AZ-05,5,AZ05,13
House,Arizona,AZ,AZ-06,6,AZ06,14
House,Arizona,AZ,AZ-07,7,AZ07,15
House,Arizona,AZ,AZ-08,8,AZ08,16
House,Arizona,AZ,AZ-09,9,AZ09,17
House,Arkansas,AR,AR-01,1,AR01,18
House,Arkansas,AR,AR-02,2,AR02,19
House,Arkansas,AR,AR-03,3,AR03,20
House,Arkansas,AR,AR-04,4,AR04,21
House,California,CA,CA-01,1,CA01,22
House,California,CA,CA-02,2,CA02,23
House,California,CA,CA-03,3,CA03,24
House,California,CA,CA-04,4,CA04,25
House,California,CA,CA-05,5,CA05,26
House,California,CA,CA-06,6,CA06,27
House,California,CA,CA-07,7,CA07,28
House,California,CA,CA-08,8,CA08,29
House,California,CA,CA-09,9,CA09,30
House,California,CA,CA-10,10,CA10,31
House,California,CA,CA-11,11,CA11,32
House,California,CA,CA-12,12,CA12,33
House,California,CA,CA-13,13,CA13,34
House,California,CA,CA-14,14,CA14,35
House,California,CA,CA-15,15,CA15,36
House,California,CA,CA-16,16,CA16,37
House,California,CA,CA-17,17,CA17,38
House,California,CA,CA-18,18,CA18,39
House,California,CA,CA-19,19,CA19,40
House,California,CA,CA-20,20,CA20,41
House,California,CA,CA-21,21,CA21,42
House,California,CA,CA-22,22,CA22,43
House,California,CA,CA-23,23,CA23,44
House,California,CA,CA-24,24,CA24,45
House,California,CA,CA-25,25,CA25,46
House,California,CA,CA-26,26,CA26,47
House,California,CA,CA-27,27,CA27,48
House,California,CA,CA-28,28,CA28,49
House,California,CA,CA-29,29,CA29,50
House,California,CA,CA-30,30,CA30,51
House,California,CA,CA-31,31,CA31,52
House,California,CA,CA-32,32,CA32,53
House,California,CA,CA-33,33,CA33,54
House,California,CA,CA-34,34,CA34,55
House,California,CA,CA-35,35,CA35,56
House,California,CA,CA-36,36,CA36,57
House,California,CA,CA-37,37,CA37,58
House,California,CA,CA-38,38,CA38,59
House,California,CA,CA-39,39,CA39,60
House,California,CA,CA-40,40,CA40,61
House,California,CA,CA-41,41,CA41,62
House,California,CA,CA-42,42,CA42,63
House,California,CA,CA-43,43,CA43,64
House,California,CA,CA-44,44,CA44,65
House,California,CA,CA-45,45,CA45,66
House,California,CA,CA-46,46,CA46,67
House,California,CA,CA-47,47,CA47,68
House,California,CA,CA-48,48,CA48,69
House,California,CA,CA-49,49,CA49,70
