state,state_abb,CD,district,ID,Total_2020_VAP,White_2020_VAP,Hispanic_2020_VAP,Black_2020_VAP,Asian_2020_VAP,Native_2020_VAP,Pacific_2020_VAP,
Alaska,AK,AK-AL,0,1,532539,351992,31283,20370,29103,90039,5596,
Alabama,AL,AL-01,1,2,536917,365958,11604,142189,7108,9217,121,
Alabama,AL,AL-02,2,3,532505,345654,11220,163896,5935,5634,40,
Alabama,AL,AL-03,3,4,537301,383148,10032,134295,4695,4253,364,
Alabama,AL,AL-04,4,5,526676,461981,12428,40698,2361,8893,186,
Alabama,AL,AL-05,5,6,520376,394322,13438,94795,8501,8699,340,
Alabama,AL,AL-06,6,7,509270,387807,11265,99370,6970,3668,172,
Alabama,AL,AL-07,7,8,546136,219974,6774,312089,4231,2781,93,
Arkansas,AR,AR-01,1,9,573008,453357,11281,94625,2732,11002,256,
Arkansas,AR,AR-02,2,10,559490,420497,13203,112114,7052,6471,179,
Arkansas,AR,AR-03,3,11,507316,419895,41981,17254,12225,14622,979,
Arkansas,AR,AR-04,4,12,579651,430914,17054,118674,3157,8829,431,
Arizona,AZ,AZ-01,1,13,621909,490385,72687,22615,21104,12347,923,
Arizona,AZ,AZ-02,2,14,605347,371095,83860,15677,7582,124686,1031,
Arizona,AZ,AZ-03,3,15,450729,135175,233574,54081,12074,14019,575,
Arizona,AZ,AZ-04,4,16,582034,390309,109719,39561,23106,15969,1611,
Arizona,AZ,AZ-05,5,17,528233,397839,77283,19513,24269,7022,579,
Arizona,AZ,AZ-06,6,18,606381,422736,130335,22578,17582,10451,1401,
Arizona,AZ,AZ-07,7,19,528947,198972,273119,23277,10788,20929,786,
Arizona,AZ,AZ-08,8,20,573386,429263,86387,24171,21105,10015,781,
Arizona,AZ,AZ-09,9,21,553143,371048,129089,26209,12805,11009,1206,
California,CA,CA-01,1,22,553979,408267,82776,13733,27341,18326,1219,
California,CA,CA-02,2,23,561585,438354,65378,12088,25024,17319,1135,
California,CA,CA-03,3,24,560627,439893,61545,11629,33789,10621,1164,
California,CA,CA-04,4,25,540803,352290,111100,21150,43928,8065,1511,
California,CA,CA-05,5,26,554119,387382,105108,14295,33284,10284,2003,
California,CA,CA-06,6,27,500559,288002,85058,56322,57525,7353,3077,
California,CA,CA-07,7,28,501894,207603,106178,64966,105497,6098,7596,
California,CA,CA-08,8,29,485448,166052,117100,92220,95639,6009,3639,
California,CA,CA-09,9,30,463613,192762,147673,41337,70651,5531,2497,
California,CA,CA-10,10,31,511682,309379,70397,29267,92039,4099,2080,
California,CA,CA-11,11,32,566772,281335,61274,34631,180610,3487,1699,
California,CA,CA-12,12,33,513935,215534,75759,99747,111476,3960,3249,
California,CA,CA-13,13,34,408828,146334,208950,18998,25489,5334,1987,
