ConD,Cook Political Report,Inside Elections,Sabato's Crystal Ball,cook_code,inside_code,crystal_code,avg_ratings_2020,year
AK-01,Lean Republican,Likely Republican,Lean Republican,-2,-3,-2,-2.333333333,2020
AL-01,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2020
AL-02,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2020
AL-03,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2020
AL-04,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2020
AL-05,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2020
AL-06,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2020
AL-07,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
AR-01,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2020
AR-02,Toss-up,Toss-up,Lean Republican,0,0,-2,-0.666666667,2020
AR-03,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2020
AR-04,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2020
AZ-01,Lean Democratic,Likely Democratic,Likely Democratic,2,3,3,2.666666667,2020
AZ-02,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
AZ-03,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
AZ-04,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2020
AZ-05,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2020
AZ-06,Toss-up,Toss-up,Lean Democratic,0,0,2,0.666666667,2020
AZ-07,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
AZ-08,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2020
AZ-09,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
CA-01,Solid Republican,Solid Republican,Likely Republican,-4,-4,-3,-3.666666667,2020
CA-02,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
CA-03,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
CA-04,Likely Republican,Solid Republican,Likely Republican,-3,-4,-3,-3.333333333,2020
CA-05,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
CA-06,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
CA-07,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
CA-08,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2020
CA-09,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
CA-10,Likely Democratic,Solid Democratic,Safe Democratic,3,4,4,3.666666667,2020
CA-11,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
CA-12,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
CA-13,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
CA-14,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
CA-15,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
CA-16,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
CA-17,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
CA-18,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
CA-19,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
CA-20,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
CA-21,Toss-up,Toss-up,Lean Democratic,0,0,2,0.666666667,2020
CA-22,Likely Republican,Solid Republican,Safe Republican,-3,-4,-4,-3.666666667,2020
CA-23,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2020
CA-24,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
CA-25,Toss-up,Toss-up,Lean Republican,0,0,-2,-0.666666667,2020
CA-26,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
CA-27,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
CA-28,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
CA-29,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
CA-30,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
CA-31,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
CA-32,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
CA-33,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
CA-34,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
CA-35,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
CA-36,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
CA-37,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
CA-38,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
CA-39,Likely Democratic,Likely Democratic,Lean Democratic,3,3,2,2.666666667,2020
CA-40,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
CA-41,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
CA-42,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2020
CA-43,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
CA-44,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
CA-45,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
CA-46,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
CA-47,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
CA-48,Lean Democratic,Lean Democratic,Lean Democratic,2,2,2,2,2020
