ID,District,PVI,partymulti,PVI_num,State,state_abb,CD,district_num,district_id,WinnerParty,ID
1,Alabama 1,R+16,-1,-16,Alabama,AL,AL-01,1,AL01,R,1
2,Alabama 2,R+17,-1,-17,Alabama,AL,AL-02,2,AL02,R,2
3,Alabama 3,R+19,-1,-19,Alabama,AL,AL-03,3,AL03,R,3
4,Alabama 4,R+33,-1,-33,Alabama,AL,AL-04,4,AL04,R,4
5,Alabama 5,R+17,-1,-17,Alabama,AL,AL-05,5,AL05,R,5
6,Alabama 6,R+18,-1,-18,Alabama,AL,AL-06,6,AL06,R,6
7,Alabama 7,D+14,1,14,Alabama,AL,AL-07,7,AL07,D,7
8,Alaska at-large,R+8,-1,-8,Alaska,AK,AK-AL,0,AK00,R,8
9,Arizona 1,R+2,-1,-2,Arizona,AZ,AZ-01,1,AZ01,D,9
10,Arizona 2,R+6,-1,-6,Arizona,AZ,AZ-02,2,AZ02,D,10
11,Arizona 3,D+24,1,24,Arizona,AZ,AZ-03,3,AZ03,D,11
12,Arizona 4,D+2,1,2,Arizona,AZ,AZ-04,4,AZ04,R,12
13,Arizona 5,R+11,-1,-11,Arizona,AZ,AZ-05,5,AZ05,R,13
14,Arizona 6,R+3,-1,-3,Arizona,AZ,AZ-06,6,AZ06,R,14
15,Arizona 7,D+15,1,15,Arizona,AZ,AZ-07,7,AZ07,D,15
16,Arizona 8,R+10,-1,-10,Arizona,AZ,AZ-08,8,AZ08,R,16
17,Arizona 9,R+16,-1,-16,Arizona,AZ,AZ-09,9,AZ09,D,17
18,Arkansas 1,R+22,-1,-22,Arkansas,AR,AR-01,1,AR01,R,18
19,Arkansas 2,R+9,-1,-9,Arkansas,AR,AR-02,2,AR02,R,19
20,Arkansas 3,R+15,-1,-15,Arkansas,AR,AR-03,3,AR03,R,20
21,Arkansas 4,R+20,-1,-20,Arkansas,AR,AR-04,4,AR04,R,21
22,California 1,R+12,-1,-12,California,CA,CA-01,1,CA01,R,22
31,California 10,D+18,1,18,California,CA,CA-02,2,CA02,D,23
32,California 11,D+37,1,37,California,CA,CA-03,3,CA03,D,24
33,California 12,D+40,1,40,California,CA,CA-04,4,CA04,R,25
34,California 13,D+4,1,4,California,CA,CA-05,5,CA05,D,26
35,California 14,D+22,1,22,California,CA,CA-06,6,CA06,D,27
36,California 15,D+28,1,28,California,CA,CA-07,7,CA07,D,28
37,California 16,D+26,1,26,California,CA,CA-08,8,CA08,R,29
38,California 17,D+23,1,23,California,CA,CA-09,9,CA09,D,30
39,California 18,D+21,1,21,California,CA,CA-10,10,CA10,D,31
40,California 19,D+18,1,18,California,CA,CA-11,11,CA11,D,32
23,California 2,D+23,1,23,California,CA,CA-12,12,CA12,D,33
41,California 20,R+16,-1,-16,California,CA,CA-13,13,CA13,D,34
42,California 21,D+9,1,9,California,CA,CA-14,14,CA14,D,35
43,California 22,D+5,1,5,California,CA,CA-15,15,CA15,D,36
44,California 23,R+8,-1,-8,California,CA,CA-16,16,CA16,D,37
45,California 24,D+13,1,13,California,CA,CA-17,17,CA17,D,38
46,California 25,D+6,1,6,California,CA,CA-18,18,CA18,D,39
47,California 26,D+8,1,8,California,CA,CA-19,19,CA19,D,40
48,California 27,D+4,1,4,California,CA,CA-20,20,CA20,D,41
49,California 28,D+16,1,16,California,CA,CA-21,21,CA21,D,42
50,California 29,D+26,1,26,California,CA,CA-22,22,CA22,R,43
24,California 3,R+4,-1,-4,California,CA,CA-23,23,CA23,R,44
51,California 30,D+23,1,23,California,CA,CA-24,24,CA24,D,45
52,California 31,D+15,1,15,California,CA,CA-25,25,CA25,D,46
53,California 32,D+20,1,20,California,CA,CA-26,26,CA26,D,47
54,California 33,D+12,1,12,California,CA,CA-27,27,CA27,D,48
55,California 34,D+32,1,32,California,CA,CA-28,28,CA28,D,49
56,California 35,D+13,1,13,California,CA,CA-29,29,CA29,D,50
57,California 36,D+21,1,21,California,CA,CA-30,30,CA30,D,51
58,California 37,D+37,1,37,California,CA,CA-31,31,CA31,D,52
59,California 38,D+14,1,14,California,CA,CA-32,32,CA32,D,53
60,California 39,D+12,1,12,California,CA,CA-33,33,CA33,D,54
25,California 4,D+17,1,17,California,CA,CA-34,34,CA34,D,55
61,California 40,R+2,-1,-2,California,CA,CA-35,35,CA35,D,56
62,California 41,R+3,-1,-3,California,CA,CA-36,36,CA36,D,57
63,California 42,D+22,1,22,California,CA,CA-37,37,CA37,D,58
64,California 43,D+32,1,32,California,CA,CA-38,38,CA38,D,59
65,California 44,D+24,1,24,California,CA,CA-39,39,CA39,D,60
66,California 45,D+2,1,2,California,CA,CA-40,40,CA40,D,61
67,California 46,D+15,1,15,California,CA,CA-41,41,CA41,D,62
68,California 47,D+3,1,3,California,CA,CA-42,42,CA42,R,63
69,California 48,R+9,-1,-9,California,CA,CA-43,43,CA43,D,64
70,California 49,D+3,1,3,California,CA,CA-44,44,CA44,D,65
26,California 5,R+9,-1,-9,California,CA,CA-45,45,CA45,D,66
71,California 50,D+14,1,14,California,CA,CA-46,46,CA46,D,67
72,California 51,D+12,1,12,California,CA,CA-47,47,CA47,D,68
73,California 52,D+18,1,18,California,CA,CA-48,48,CA48,D,69
27,California 6,D+7,1,7,California,CA,CA-49,49,CA49,D,70
28,California 7,D+17,1,17,California,CA,CA-50,50,CA50,R,71
