pres_approve,pres_disapprove,pres_unsure_NA,president,year,month,pres_polling_margin,election_year,mean_pres_polling_margin
43,55,2,Donald Trump,2020,11,-12,yes,-9.6
46,52,0,Donald Trump,2020,10,-6,yes,-9.6
46,53,1,Donald Trump,2020,10,-7,yes,-9.6
44,55,1,Donald Trump,2020,10,-11,yes,-9.6
43,55,0,Donald Trump,2020,10,-12,yes,-9.6
38,60,2,Donald Trump,2018,11,-22,yes,-12.625
38,60,2,Donald Trump,2018,11,-22,yes,-12.625
43,53,4,Donald Trump,2018,11,-10,yes,-12.625
43,53,4,Donald Trump,2018,11,-10,yes,-12.625
38,56,6,Donald Trump,2018,11,-18,yes,-12.625
38,56,6,Donald Trump,2018,11,-18,yes,-12.625
40,54,6,Donald Trump,2018,11,-14,yes,-12.625
40,54,6,Donald Trump,2018,11,-14,yes,-12.625
40,54,6,Donald Trump,2018,10,-14,yes,-12.625
40,54,6,Donald Trump,2018,10,-14,yes,-12.625
44,50,6,Donald Trump,2018,10,-6,yes,-12.625
44,50,6,Donald Trump,2018,10,-6,yes,-12.625
44,51,5,Donald Trump,2018,10,-7,yes,-12.625
44,51,5,Donald Trump,2018,10,-7,yes,-12.625
43,53,4,Donald Trump,2018,10,-10,yes,-12.625
43,53,4,Donald Trump,2018,10,-10,yes,-12.625
57,40,3,Barack Obama,2016,11,17,yes,12.14035087719298
57,40,3,Barack Obama,2016,11,17,yes,12.14035087719298
57,39,4,Barack Obama,2016,11,18,yes,12.14035087719298
57,39,4,Barack Obama,2016,11,18,yes,12.14035087719298
57,39,4,Barack Obama,2016,11,18,yes,12.14035087719298
57,39,4,Barack Obama,2016,11,18,yes,12.14035087719298
56,40,4,Barack Obama,2016,11,16,yes,12.14035087719298
56,40,4,Barack Obama,2016,11,16,yes,12.14035087719298
56,40,4,Barack Obama,2016,11,16,yes,12.14035087719298
56,40,4,Barack Obama,2016,11,16,yes,12.14035087719298
55,42,3,Barack Obama,2016,11,13,yes,12.14035087719298
55,42,3,Barack Obama,2016,11,13,yes,12.14035087719298
