state,year,district,DemVotesMajorPercent,incumb_district,midterm,house_party_in_power_at_election,pres_party_in_power_at_election,mean_dem_natl_gb_margin,total_avg_rating,democratic_house,democratic_president,midterm_election,previous_voteshare
Alabama,2020,1,35.57,0,pres,D,R,7.4,-4,1,0,0,36.8
Alabama,2020,2,34.72,0,pres,D,R,7.4,-4,1,0,0,38.5
Alabama,2020,3,32.49,1,pres,D,R,7.4,-4,1,0,0,36.24
Alabama,2020,4,17.7,1,pres,D,R,7.4,-4,1,0,0,20.15
Alaska,2020,0,45.42,1,pres,D,R,7.4,-2.444444444,1,0,0,46.69
Arizona,2020,1,51.61,1,pres,D,R,7.4,2.555555556,1,0,0,53.84
Arizona,2020,2,55.12,1,pres,D,R,7.4,4,1,0,0,54.75
Arizona,2020,3,64.57,1,pres,D,R,7.4,4,1,0,0,63.87
Arizona,2020,4,30.24,1,pres,D,R,7.4,-4,1,0,0,30.92
Arizona,2020,5,41.11,1,pres,D,R,7.4,-4,1,0,0,40.58
Arizona,2020,6,47.83,1,pres,D,R,7.4,-0.111111111,1,0,0,44.81
Arizona,2020,7,76.71,1,pres,D,R,7.4,4,1,0,0,75.25
Arizona,2020,8,40.15,1,pres,D,R,7.4,-4,1,0,0,44.54
Arizona,2020,9,61.63,1,pres,D,R,7.4,4,1,0,0,61.09
Arkansas,2020,2,44.63,1,pres,D,R,7.4,-0.555555556,1,0,0,46.78
Arkansas,2020,3,33.09,1,pres,D,R,7.4,-4,1,0,0,33.51
Arkansas,2020,4,28.33,1,pres,D,R,7.4,-4,1,0,0,31.88
California,2020,1,43.01,1,pres,D,R,7.4,-3.888888889,1,0,0,45.11
California,2020,2,75.74,1,pres,D,R,7.4,4,1,0,0,77.01
California,2020,3,54.67,1,pres,D,R,7.4,4,1,0,0,58.07
California,2020,4,44.05,1,pres,D,R,7.4,-3.444444444,1,0,0,45.87
California,2020,5,76.09,1,pres,D,R,7.4,4,1,0,0,76.87
California,2020,6,73.34,1,pres,D,R,7.4,4,1,0,0,75.43
California,2020,7,56.62,1,pres,D,R,7.4,4,1,0,0,55.04
California,2020,8,43.94,0,pres,D,R,7.4,-4,1,0,0,37.74
California,2020,9,57.58,1,pres,D,R,7.4,4,1,0,0,56.49
California,2020,10,55.16,1,pres,D,R,7.4,3.555555556,1,0,0,52.25
California,2020,11,72.99,1,pres,D,R,7.4,4,1,0,0,74.13
California,2020,13,90.37,1,pres,D,R,7.4,4,1,0,0,90.78
California,2020,14,79.29,1,pres,D,R,7.4,4,1,0,0,79.22
California,2020,15,70.9,1,pres,D,R,7.4,4,1,0,0,72.97
California,2020,16,59.38,1,pres,D,R,7.4,4,1,0,0,57.55
California,2020,17,71.35,1,pres,D,R,7.4,4,1,0,0,75.35
California,2020,19,71.68,1,pres,D,R,7.4,4,1,0,0,73.75
California,2020,20,76.78,1,pres,D,R,7.4,4,1,0,0,70.75
California,2020,21,49.55,1,pres,D,R,7.4,0.555555556,1,0,0,50.38
California,2020,22,45.77,1,pres,D,R,7.4,-3.555555556,1,0,0,47.28
California,2020,23,37.86,1,pres,D,R,7.4,-4,1,0,0,36.28
California,2020,24,58.66,1,pres,D,R,7.4,4,1,0,0,58.56
California,2020,25,49.95,1,pres,D,R,7.4,-0.555555556,1,0,0,54.37
