District,Cook Political Report,Inside Elections,Sabato's Crystal Ball,
AK-01,Lean Republican,Likely Republican,Lean Republican,
AL-01,Solid Republican,Solid Republican,Safe Republican,
AL-02,Solid Republican,Solid Republican,Safe Republican,
AL-03,Solid Republican,Solid Republican,Safe Republican,
AL-04,Solid Republican,Solid Republican,Safe Republican,
AL-05,Solid Republican,Solid Republican,Safe Republican,
AL-06,Solid Republican,Solid Republican,Safe Republican,
AL-07,Solid Democratic,Solid Democratic,Safe Democratic,
AR-01,Solid Republican,Solid Republican,Safe Republican,
AR-02,Likely Republican,Likely Republican,Lean Republican,
AR-03,Solid Republican,Solid Republican,Safe Republican,
AR-04,Solid Republican,Solid Republican,Safe Republican,
AZ-01,Lean Democratic,Lean Democratic,Likely Democratic,
AZ-02,Lean Democratic,Lean Democratic,Likely Democratic,
AZ-03,Solid Democratic,Solid Democratic,Safe Democratic,
AZ-04,Solid Republican,Solid Republican,Safe Republican,
AZ-05,Solid Republican,Solid Republican,Safe Republican,
AZ-06,Likely Republican,Solid Republican,Likely Republican,
AZ-07,Solid Democratic,Solid Democratic,Safe Democratic,
AZ-08,Likely Republican,Likely Republican,Likely Republican,
AZ-09,Solid Democratic,Solid Democratic,Safe Democratic,
CA-01,Likely Republican,Solid Republican,Safe Republican,
CA-02,Solid Democratic,Solid Democratic,Safe Democratic,
CA-03,Solid Democratic,Solid Democratic,Safe Democratic,
CA-04,Likely Republican,Likely Republican,Likely Republican,
CA-05,Solid Democratic,Solid Democratic,Safe Democratic,
CA-06,Solid Democratic,Solid Democratic,Safe Democratic,
CA-07,Likely Democratic,Solid Democratic,Likely Democratic,
CA-08,Solid Republican,Solid Republican,Safe Republican,
CA-09,Solid Democratic,Solid Democratic,Safe Democratic,
CA-10,Toss-up,Toss-up,Lean Democratic,
CA-11,Solid Democratic,Solid Democratic,Safe Democratic,
CA-12,Solid Democratic,Solid Democratic,Safe Democratic,
CA-13,Solid Democratic,Solid Democratic,Safe Democratic,
CA-14,Solid Democratic,Solid Democratic,Safe Democratic,
CA-15,Solid Democratic,Solid Democratic,Safe Democratic,
CA-16,Likely Democratic,Solid Democratic,Likely Democratic,
CA-17,Solid Democratic,Solid Democratic,Safe Democratic,
CA-18,Solid Democratic,Solid Democratic,Safe Democratic,
CA-19,Solid Democratic,Solid Democratic,Safe Democratic,
CA-20,Solid Democratic,Solid Democratic,Safe Democratic,
CA-21,Likely Republican,Likely Republican,Lean Republican,
CA-22,Likely Republican,Solid Republican,Likely Republican,
CA-23,Solid Republican,Solid Republican,Safe Republican,
CA-24,Solid Democratic,Solid Democratic,Likely Democratic,
CA-25,Toss-up,Toss-up,Lean Republican,
CA-26,Solid Democratic,Solid Democratic,Safe Democratic,
CA-27,Solid Democratic,Solid Democratic,Safe Democratic,
CA-28,Solid Democratic,Solid Democratic,Safe Democratic,
CA-29,Solid Democratic,Solid Democratic,Safe Democratic,
CA-30,Solid Democratic,Solid Democratic,Safe Democratic,
CA-31,Solid Democratic,Solid Democratic,Safe Democratic,
