District,Cook Political Report,Inside Elections,Sabato's Crystal Ball
AK-01,Lean Democratic,Tilt Democratic,Lean Democratic
AL-01,Solid Republican,Solid Republican,Safe Republican
AL-02,Solid Republican,Solid Republican,Safe Republican
AL-03,Solid Republican,Solid Republican,Safe Republican
AL-04,Solid Republican,Solid Republican,Safe Republican
AL-05,Solid Republican,Solid Republican,Safe Republican
AL-06,Solid Republican,Solid Republican,Safe Republican
AL-07,Solid Democratic,Solid Democratic,Safe Democratic
AR-01,Solid Republican,Solid Republican,Safe Republican
AR-02,Solid Republican,Solid Republican,Safe Republican
AR-03,Solid Republican,Solid Republican,Safe Republican
AR-04,Solid Republican,Solid Republican,Safe Republican
AZ-01,Toss-up,Lean Republican,Lean Republican
AZ-02,Lean Republican,Lean Republican,Lean Republican
AZ-03,Solid Democratic,Solid Democratic,Safe Democratic
AZ-04,Likely Democratic,Likely Democratic,Lean Democratic
AZ-05,Solid Republican,Solid Republican,Safe Republican
AZ-06,Lean Republican,Tilt Republican,Lean Republican
AZ-07,Solid Democratic,Solid Democratic,Safe Democratic
AZ-08,Solid Republican,Solid Republican,Safe Republican
AZ-09,Solid Republican,Solid Republican,Safe Republican
CA-01,Solid Republican,Solid Republican,Safe Republican
CA-02,Solid Democratic,Solid Democratic,Safe Democratic
CA-03,Likely Republican,Likely Republican,Likely Republican
CA-04,Solid Democratic,Solid Democratic,Safe Democratic
CA-05,Solid Republican,Solid Republican,Safe Republican
CA-06,Solid Democratic,Solid Democratic,Safe Democratic
CA-07,Solid Democratic,Solid Democratic,Safe Democratic
CA-08,Solid Democratic,Solid Democratic,Safe Democratic
CA-09,Lean Democratic,Likely Democratic,Lean Democratic
CA-10,Solid Democratic,Solid Democratic,Safe Democratic
CA-11,Solid Democratic,Solid Democratic,Safe Democratic
CA-12,Solid Democratic,Solid Democratic,Safe Democratic
CA-13,Toss-up,Tilt Democratic,Toss-up
CA-14,Solid Democratic,Solid Democratic,Safe Democratic
CA-15,Solid Democratic,Solid Democratic,Safe Democratic
CA-16,Solid Democratic,Solid Democratic,Safe Democratic
CA-17,Solid Democratic,Solid Democratic,Safe Democratic
CA-18,Solid Democratic,Solid Democratic,Safe Democratic
CA-19,Solid Democratic,Solid Democratic,Safe Democratic
CA-20,Solid Republican,Solid Republican,Safe Republican
CA-21,Solid Democratic,Solid Democratic,Safe Democratic
CA-22,Toss-up,Toss-up,Toss-up
CA-23,Solid Republican,Solid Republican,Safe Republican
CA-24,Solid Democratic,Solid Democratic,Safe Democratic
CA-25,Solid Democratic,Solid Democratic,Likely Democratic
CA-26,Lean Democratic,Solid Democratic,Likely Democratic
CA-27,Toss-up,Tilt Republican,Lean Republican
CA-28,Solid Democratic,Solid Democratic,Safe Democratic
CA-29,Solid Democratic,Solid Democratic,Safe Democratic
CA-30,Solid Democratic,Solid Democratic,Safe Democratic
CA-31,Solid Democratic,Solid Democratic,Safe Democratic
CA-32,Solid Democratic,Solid Democratic,Safe Democratic
CA-33,Solid Democratic,Solid Democratic,Safe Democratic
CA-34,Solid Democratic,Solid Democratic,Safe Democratic
CA-35,Solid Democratic,Solid Democratic,Safe Democratic
CA-36,Solid Democratic,Solid Democratic,Safe Democratic
CA-37,Solid Democratic,Solid Democratic,Safe Democratic
CA-38,Solid Democratic,Solid Democratic,Safe Democratic
CA-39,Solid Democratic,Solid Democratic,Safe Democratic
CA-40,Likely Republican,Likely Republican,Likely Republican
CA-41,Lean Republican,Solid Republican,Likely Republican
CA-42,Solid Democratic,Solid Democratic,Safe Democratic
CA-43,Solid Democratic,Solid Democratic,Safe Democratic
CA-44,Solid Democratic,Solid Democratic,Safe Democratic
CA-45,Lean Republican,Lean Republican,Lean Republican
CA-46,Solid Democratic,Solid Democratic,Safe Democratic
CA-47,Toss-up,Lean Democratic,Lean Democratic
CA-48,Solid Republican,Solid Republican,Safe Republican
CA-49,Toss-up,Lean Democratic,Lean Democratic
CA-50,Solid Democratic,Solid Democratic,Safe Democratic
CA-51,Solid Democratic,Solid Democratic,Safe Democratic
CA-52,Solid Democratic,Solid Democratic,Safe Democratic
CO-01,Solid Democratic,Solid Democratic,Safe Democratic
CO-02,Solid Democratic,Solid Democratic,Safe Democratic
CO-03,Solid Republican,Solid Republican,Likely Republican
CO-04,Solid Republican,Solid Republican,Safe Republican
CO-05,Solid Republican,Solid Republican,Safe Republican
CO-06,Solid Democratic,Solid Democratic,Safe Democratic
CO-07,Likely Democratic,Likely Democratic,Lean Democratic
CO-08,Toss-up,Toss-up,Toss-up
CT-01,Solid Democratic,Solid Democratic,Safe Democratic
CT-02,Likely Democratic,Solid Democratic,Likely Democratic
CT-03,Solid Democratic,Solid Democratic,Safe Democratic
CT-04,Solid Democratic,Solid Democratic,Safe Democratic
CT-05,Toss-up,Lean Democratic,Lean Democratic
DE-01,Solid Democratic,Solid Democratic,Safe Democratic
FL-01,Solid Republican,Solid Republican,Safe Republican
FL-02,Solid Republican,Solid Republican,Safe Republican
FL-03,Solid Republican,Solid Republican,Safe Republican
FL-04,Solid Republican,Solid Republican,Safe Republican
FL-05,Solid Republican,Likely Republican,Safe Republican
FL-06,Solid Republican,Solid Republican,Safe Republican
FL-07,Solid Republican,Likely Republican,Safe Republican
FL-08,Solid Republican,Solid Republican,Safe Republican
FL-09,Solid Democratic,Solid Democratic,Safe Democratic
FL-10,Solid Democratic,Solid Democratic,Safe Democratic
FL-11,Solid Republican,Solid Republican,Safe Republican
FL-12,Solid Republican,Solid Republican,Safe Republican
FL-13,Likely Republican,Likely Republican,Likely Republican
FL-14,Solid Democratic,Solid Democratic,Safe Democratic
FL-15,Likely Republican,Likely Republican,Likely Republican
FL-16,Solid Republican,Solid Republican,Safe Republican
FL-17,Solid Republican,Solid Republican,Safe Republican
FL-18,Solid Republican,Solid Republican,Safe Republican
FL-19,Solid Republican,Solid Republican,Safe Republican
FL-20,Solid Democratic,Solid Democratic,Safe Democratic
FL-21,Solid Republican,Solid Republican,Safe Republican
FL-22,Solid Democratic,Solid Democratic,Safe Democratic
FL-23,Solid Democratic,Solid Democratic,Safe Democratic
FL-24,Solid Democratic,Solid Democratic,Safe Democratic
