year,state_abb,district,cook_code,inside_code,avg_ratings_2018,avg_ratings_2020,avg_ratings_2022,total_avg_rating
2008,AL,7,4,NA,NA,NA,NA,4
2008,AR,1,4,NA,NA,NA,NA,4
2008,AR,2,4,NA,NA,NA,NA,4
2008,AR,4,4,NA,NA,NA,NA,4
2008,AZ,4,4,NA,NA,NA,NA,4
2008,AZ,7,4,NA,NA,NA,NA,4
2008,CA,1,4,NA,NA,NA,NA,4
2008,CA,5,4,NA,NA,NA,NA,4
2008,CA,6,4,NA,NA,NA,NA,4
2008,CA,7,4,NA,NA,NA,NA,4
2008,CA,8,4,NA,NA,NA,NA,4
2008,CA,9,4,NA,NA,NA,NA,4
2008,CA,10,4,NA,NA,NA,NA,4
2008,CA,12,4,NA,NA,NA,NA,4
2008,CA,13,4,NA,NA,NA,NA,4
2008,CA,14,4,NA,NA,NA,NA,4
2008,CA,15,4,NA,NA,NA,NA,4
2008,CA,16,4,NA,NA,NA,NA,4
2008,CA,17,4,NA,NA,NA,NA,4
2008,CA,18,4,NA,NA,NA,NA,4
2008,CA,20,4,NA,NA,NA,NA,4
2008,CA,23,4,NA,NA,NA,NA,4
2008,CA,27,4,NA,NA,NA,NA,4
2008,CA,28,4,NA,NA,NA,NA,4
2008,CA,29,4,NA,NA,NA,NA,4
2008,CA,30,4,NA,NA,NA,NA,4
2008,CA,31,4,NA,NA,NA,NA,4
2008,CA,33,4,NA,NA,NA,NA,4
2008,CA,34,4,NA,NA,NA,NA,4
2008,CA,35,4,NA,NA,NA,NA,4
2008,CA,36,4,NA,NA,NA,NA,4
2008,CA,38,4,NA,NA,NA,NA,4
2008,CA,39,4,NA,NA,NA,NA,4
2008,CA,43,4,NA,NA,NA,NA,4
2008,CA,47,4,NA,NA,NA,NA,4
2008,CA,51,4,NA,NA,NA,NA,4
2008,CA,53,4,NA,NA,NA,NA,4
2008,CO,1,4,NA,NA,NA,NA,4
2008,CO,2,4,NA,NA,NA,NA,4
2008,CO,3,4,NA,NA,NA,NA,4
2008,CO,7,4,NA,NA,NA,NA,4
2008,CT,1,4,NA,NA,NA,NA,4
2008,CT,2,4,NA,NA,NA,NA,4
2008,CT,3,4,NA,NA,NA,NA,4
2008,CT,5,4,NA,NA,NA,NA,4
2008,FL,2,4,NA,NA,NA,NA,4
2008,FL,3,4,NA,NA,NA,NA,4
2008,FL,11,4,NA,NA,NA,NA,4
2008,FL,17,4,NA,NA,NA,NA,4
2008,FL,19,4,NA,NA,NA,NA,4
2008,FL,20,4,NA,NA,NA,NA,4
2008,FL,22,4,NA,NA,NA,NA,4
2008,FL,23,4,NA,NA,NA,NA,4
2008,GA,2,4,NA,NA,NA,NA,4
2008,GA,4,4,NA,NA,NA,NA,4
2008,GA,5,4,NA,NA,NA,NA,4
2008,GA,12,4,NA,NA,NA,NA,4
2008,GA,13,4,NA,NA,NA,NA,4
2008,HI,1,4,NA,NA,NA,NA,4
2008,HI,2,4,NA,NA,NA,NA,4
2008,IA,1,4,NA,NA,NA,NA,4
2008,IA,2,4,NA,NA,NA,NA,4
2008,IA,3,4,NA,NA,NA,NA,4
2008,IL,1,4,NA,NA,NA,NA,4
2008,IL,2,4,NA,NA,NA,NA,4
2008,IL,3,4,NA,NA,NA,NA,4
2008,IL,4,4,NA,NA,NA,NA,4
2008,IL,5,4,NA,NA,NA,NA,4
2008,IL,7,4,NA,NA,NA,NA,4
2008,IL,8,4,NA,NA,NA,NA,4
2008,IL,9,4,NA,NA,NA,NA,4
2008,IL,12,4,NA,NA,NA,NA,4
2008,IL,17,4,NA,NA,NA,NA,4
2008,IN,1,4,NA,NA,NA,NA,4
2008,IN,2,4,NA,NA,NA,NA,4
2008,IN,7,4,NA,NA,NA,NA,4
2008,IN,8,4,NA,NA,NA,NA,4
2008,KY,6,4,NA,NA,NA,NA,4
2008,LA,2,4,NA,NA,NA,NA,4
2008,LA,3,4,NA,NA,NA,NA,4
2008,MA,1,4,NA,NA,NA,NA,4
2008,MA,2,4,NA,NA,NA,NA,4
2008,MA,3,4,NA,NA,NA,NA,4
2008,MA,4,4,NA,NA,NA,NA,4
2008,MA,5,4,NA,NA,NA,NA,4
2008,MA,6,4,NA,NA,NA,NA,4
2008,MA,7,4,NA,NA,NA,NA,4
2008,MA,8,4,NA,NA,NA,NA,4
2008,MA,9,4,NA,NA,NA,NA,4
2008,MA,10,4,NA,NA,NA,NA,4
2008,MD,2,4,NA,NA,NA,NA,4
2008,MD,3,4,NA,NA,NA,NA,4
2008,MD,4,4,NA,NA,NA,NA,4
2008,MD,5,4,NA,NA,NA,NA,4
2008,MD,7,4,NA,NA,NA,NA,4
2008,MD,8,4,NA,NA,NA,NA,4
2008,ME,1,4,NA,NA,NA,NA,4
2008,MI,1,4,NA,NA,NA,NA,4
2008,MI,5,4,NA,NA,NA,NA,4
2008,MI,12,4,NA,NA,NA,NA,4
2008,MI,13,4,NA,NA,NA,NA,4
2008,MI,14,4,NA,NA,NA,NA,4
2008,MN,4,4,NA,NA,NA,NA,4
2008,MN,5,4,NA,NA,NA,NA,4
2008,MN,7,4,NA,NA,NA,NA,4
2008,MN,8,4,NA,NA,NA,NA,4
2008,MO,1,4,NA,NA,NA,NA,4
2008,MO,3,4,NA,NA,NA,NA,4
2008,MO,4,4,NA,NA,NA,NA,4
2008,MO,5,4,NA,NA,NA,NA,4
2008,MS,2,4,NA,NA,NA,NA,4
2008,MS,4,4,NA,NA,NA,NA,4
2008,NC,1,4,NA,NA,NA,NA,4
2008,NC,2,4,NA,NA,NA,NA,4
2008,NC,4,4,NA,NA,NA,NA,4
2008,NC,7,4,NA,NA,NA,NA,4
2008,NC,11,4,NA,NA,NA,NA,4
2008,NC,12,4,NA,NA,NA,NA,4
2008,NC,13,4,NA,NA,NA,NA,4
2008,ND,0,4,NA,NA,NA,NA,4
2008,NH,2,4,NA,NA,NA,NA,4
2008,NJ,1,4,NA,NA,NA,NA,4
2008,NJ,6,4,NA,NA,NA,NA,4
2008,NJ,8,4,NA,NA,NA,NA,4
2008,NJ,9,4,NA,NA,NA,NA,4
2008,NJ,10,4,NA,NA,NA,NA,4
2008,NJ,12,4,NA,NA,NA,NA,4
2008,NM,3,4,NA,NA,NA,NA,4
2008,NV,1,4,NA,NA,NA,NA,4
2008,NY,1,4,NA,NA,NA,NA,4
2008,NY,2,4,NA,NA,NA,NA,4
2008,NY,4,4,NA,NA,NA,NA,4
2008,NY,5,4,NA,NA,NA,NA,4
2008,NY,6,4,NA,NA,NA,NA,4
2008,NY,7,4,NA,NA,NA,NA,4
2008,NY,8,4,NA,NA,NA,NA,4
2008,NY,9,4,NA,NA,NA,NA,4
2008,NY,10,4,NA,NA,NA,NA,4
2008,NY,11,4,NA,NA,NA,NA,4
2008,NY,12,4,NA,NA,NA,NA,4
2008,NY,14,4,NA,NA,NA,NA,4
2008,NY,15,4,NA,NA,NA,NA,4
2008,NY,16,4,NA,NA,NA,NA,4
2008,NY,17,4,NA,NA,NA,NA,4
2008,NY,18,4,NA,NA,NA,NA,4
2008,NY,19,4,NA,NA,NA,NA,4
2008,NY,21,4,NA,NA,NA,NA,4
2008,NY,22,4,NA,NA,NA,NA,4
2008,NY,27,4,NA,NA,NA,NA,4
2008,NY,28,4,NA,NA,NA,NA,4
2008,OH,6,4,NA,NA,NA,NA,4
2008,OH,9,4,NA,NA,NA,NA,4
2008,OH,10,4,NA,NA,NA,NA,4
2008,OH,11,4,NA,NA,NA,NA,4
2008,OH,13,4,NA,NA,NA,NA,4
2008,OH,17,4,NA,NA,NA,NA,4
2008,OK,2,4,NA,NA,NA,NA,4
2008,OR,1,4,NA,NA,NA,NA,4
2008,OR,3,4,NA,NA,NA,NA,4
2008,OR,4,4,NA,NA,NA,NA,4
2008,PA,1,4,NA,NA,NA,NA,4
2008,PA,2,4,NA,NA,NA,NA,4
2008,PA,7,4,NA,NA,NA,NA,4
2008,PA,8,4,NA,NA,NA,NA,4
2008,PA,13,4,NA,NA,NA,NA,4
2008,PA,14,4,NA,NA,NA,NA,4
2008,PA,17,4,NA,NA,NA,NA,4
2008,RI,1,4,NA,NA,NA,NA,4
2008,RI,2,4,NA,NA,NA,NA,4
2008,SC,5,4,NA,NA,NA,NA,4
2008,SC,6,4,NA,NA,NA,NA,4
2008,SD,0,4,NA,NA,NA,NA,4
2008,TN,4,4,NA,NA,NA,NA,4
2008,TN,5,4,NA,NA,NA,NA,4
2008,TN,6,4,NA,NA,NA,NA,4
2008,TN,8,4,NA,NA,NA,NA,4
2008,TN,9,4,NA,NA,NA,NA,4
2008,TX,9,4,NA,NA,NA,NA,4
2008,TX,15,4,NA,NA,NA,NA,4
2008,TX,16,4,NA,NA,NA,NA,4
2008,TX,17,4,NA,NA,NA,NA,4
2008,TX,18,4,NA,NA,NA,NA,4
2008,TX,20,4,NA,NA,NA,NA,4
2008,TX,25,4,NA,NA,NA,NA,4
2008,TX,27,4,NA,NA,NA,NA,4
2008,TX,28,4,NA,NA,NA,NA,4
2008,TX,29,4,NA,NA,NA,NA,4
2008,TX,30,4,NA,NA,NA,NA,4
2008,UT,2,4,NA,NA,NA,NA,4
2008,VA,3,4,NA,NA,NA,NA,4
2008,VA,8,4,NA,NA,NA,NA,4
2008,VA,9,4,NA,NA,NA,NA,4
2008,VT,0,4,NA,NA,NA,NA,4
2008,WA,1,4,NA,NA,NA,NA,4
2008,WA,2,4,NA,NA,NA,NA,4
2008,WA,3,4,NA,NA,NA,NA,4
2008,WA,6,4,NA,NA,NA,NA,4
2008,WA,7,4,NA,NA,NA,NA,4
2008,WA,9,4,NA,NA,NA,NA,4
2008,WI,2,4,NA,NA,NA,NA,4
2008,WI,3,4,NA,NA,NA,NA,4
2008,WI,4,4,NA,NA,NA,NA,4
2008,WI,7,4,NA,NA,NA,NA,4
2008,WV,1,4,NA,NA,NA,NA,4
2008,WV,3,4,NA,NA,NA,NA,4
2008,AZ,1,3,NA,NA,NA,NA,3
2008,AZ,5,3,NA,NA,NA,NA,3
2008,AZ,8,3,NA,NA,NA,NA,3
2008,IL,14,3,NA,NA,NA,NA,3
2008,IN,9,3,NA,NA,NA,NA,3
2008,KS,3,3,NA,NA,NA,NA,3
2008,KY,3,3,NA,NA,NA,NA,3
2008,MN,1,3,NA,NA,NA,NA,3
2008,MS,1,3,NA,NA,NA,NA,3
2008,NY,13,3,NA,NA,NA,NA,3
2008,NY,20,3,NA,NA,NA,NA,3
2008,NY,24,3,NA,NA,NA,NA,3
2008,NY,25,3,NA,NA,NA,NA,3
2008,OH,18,3,NA,NA,NA,NA,3
2008,OR,5,3,NA,NA,NA,NA,3
2008,PA,4,3,NA,NA,NA,NA,3
2008,TX,23,3,NA,NA,NA,NA,3
2008,VA,11,3,NA,NA,NA,NA,3
2008,CA,11,2,NA,NA,NA,NA,2
2008,FL,24,2,NA,NA,NA,NA,2
2008,GA,8,2,NA,NA,NA,NA,2
2008,IL,11,2,NA,NA,NA,NA,2
2008,KS,2,2,NA,NA,NA,NA,2
2008,NM,1,2,NA,NA,NA,NA,2
2008,OH,15,2,NA,NA,NA,NA,2
2008,OH,16,2,NA,NA,NA,NA,2
