ConD,Cook Political Report,Inside Elections,Sabato's Crystal Ball,...5,cook_code,inside_code,crystal_code,avg_ratings_2018,year
AK-01,Lean Republican,Likely Republican,Lean Republican,NA,-2,-3,-2,-2.333333333,2018
AL-01,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
AL-02,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
AL-03,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
AL-04,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
AL-05,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
AL-06,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
AL-07,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
AR-01,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
AR-02,Likely Republican,Likely Republican,Lean Republican,NA,-3,-3,-2,-2.666666667,2018
AR-03,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
AR-04,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
AZ-01,Lean Democratic,Lean Democratic,Likely Democratic,NA,2,2,3,2.333333333,2018
AZ-02,Lean Democratic,Lean Democratic,Likely Democratic,NA,2,2,3,2.333333333,2018
AZ-03,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
AZ-04,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
AZ-05,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
AZ-06,Likely Republican,Solid Republican,Likely Republican,NA,-3,-4,-3,-3.333333333,2018
AZ-07,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
AZ-08,Likely Republican,Likely Republican,Likely Republican,NA,-3,-3,-3,-3,2018
AZ-09,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
CA-01,Likely Republican,Solid Republican,Safe Republican,NA,-3,-4,-4,-3.666666667,2018
CA-02,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
CA-03,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
CA-04,Likely Republican,Likely Republican,Likely Republican,NA,-3,-3,-3,-3,2018
CA-05,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
CA-06,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
CA-07,Likely Democratic,Solid Democratic,Likely Democratic,NA,3,4,3,3.333333333,2018
CA-08,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
CA-09,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
CA-10,Toss-up,Toss-up,Lean Democratic,NA,0,0,2,0.666666667,2018
CA-11,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
CA-12,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
CA-13,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
CA-14,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
CA-15,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
CA-16,Likely Democratic,Solid Democratic,Likely Democratic,NA,3,4,3,3.333333333,2018
CA-17,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
CA-18,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
CA-19,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
CA-20,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
CA-21,Likely Republican,Likely Republican,Lean Republican,NA,-3,-3,-2,-2.666666667,2018
CA-22,Likely Republican,Solid Republican,Likely Republican,NA,-3,-4,-3,-3.333333333,2018
CA-23,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
CA-24,Solid Democratic,Solid Democratic,Likely Democratic,NA,4,4,3,3.666666667,2018
CA-25,Toss-up,Toss-up,Lean Republican,NA,0,0,-2,-0.666666667,2018
CA-26,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
CA-27,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
CA-28,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
CA-29,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
CA-30,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
CA-31,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
CA-32,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
CA-33,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
CA-34,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
CA-35,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
CA-36,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
CA-37,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
CA-38,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
CA-39,Toss-up,Toss-up,Lean Republican,NA,0,0,-2,-0.666666667,2018
CA-40,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
CA-41,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
CA-42,Solid Republican,Solid Republican,Safe Republican,NA,-4,-4,-4,-4,2018
CA-43,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
CA-44,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
CA-45,Toss-up,Toss-up,Lean Democratic,NA,0,0,2,0.666666667,2018
CA-46,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
CA-47,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
CA-48,Toss-up,Tilt Democratic,Lean Democratic,NA,0,1,2,1,2018
CA-49,Lean Democratic,Lean Democratic,Likely Democratic,NA,2,2,3,2.333333333,2018
CA-50,Lean Republican,Lean Republican,Lean Republican,NA,-2,-2,-2,-2,2018
CA-51,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
CA-52,Solid Democratic,Solid Democratic,Safe Democratic,NA,4,4,4,4,2018
