ConD,Cook Political Report,Inside Elections,Sabato's Crystal Ball,cook_code,inside_code,crystal_code,avg_ratings_2022,year
AK-01,Lean Democratic,Tilt Democratic,Lean Democratic,2,1,2,1.666666667,2022
AL-01,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2022
AL-02,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2022
AL-03,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2022
AL-04,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2022
AL-05,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2022
AL-06,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2022
AL-07,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2022
AR-01,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2022
AR-02,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2022
AR-03,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2022
AR-04,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2022
AZ-01,Toss-up,Lean Republican,Lean Republican,0,-2,-2,-1.333333333,2022
AZ-02,Lean Republican,Lean Republican,Lean Republican,-2,-2,-2,-2,2022
AZ-03,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2022
AZ-04,Likely Democratic,Likely Democratic,Lean Democratic,3,3,2,2.666666667,2022
AZ-05,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2022
AZ-06,Lean Republican,Tilt Republican,Lean Republican,-2,-1,-2,-1.666666667,2022
AZ-07,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2022
AZ-08,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2022
AZ-09,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2022
CA-01,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2022
CA-02,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2022
CA-03,Likely Republican,Likely Republican,Likely Republican,-3,-3,-3,-3,2022
CA-04,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2022
CA-05,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2022
CA-06,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2022
CA-07,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2022
CA-08,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2022
CA-09,Lean Democratic,Likely Democratic,Lean Democratic,2,3,2,2.333333333,2022
CA-10,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2022
CA-11,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2022
CA-12,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2022
CA-13,Toss-up,Tilt Democratic,Toss-up,0,1,0,0.333333333,2022
CA-14,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2022
CA-15,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2022
CA-16,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2022
CA-17,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2022
CA-18,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2022
CA-19,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2022
CA-20,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2022
CA-21,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2022
CA-22,Toss-up,Toss-up,Toss-up,0,0,0,0,2022
CA-23,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2022
CA-24,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2022
CA-25,Solid Democratic,Solid Democratic,Likely Democratic,4,4,3,3.666666667,2022
CA-26,Lean Democratic,Solid Democratic,Likely Democratic,2,4,3,3,2022
CA-27,Toss-up,Tilt Republican,Lean Republican,0,-1,-2,-1,2022
CA-28,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2022
CA-29,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2022
CA-30,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2022
CA-31,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2022
CA-32,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2022
CA-33,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2022
CA-34,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2022
CA-35,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2022
CA-36,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2022
CA-37,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2022
CA-38,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2022
CA-39,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2022
CA-40,Likely Republican,Likely Republican,Likely Republican,-3,-3,-3,-3,2022
CA-41,Lean Republican,Solid Republican,Likely Republican,-2,-4,-3,-3,2022
CA-42,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2022
CA-43,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2022
CA-44,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2022
CA-45,Lean Republican,Lean Republican,Lean Republican,-2,-2,-2,-2,2022
CA-46,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2022
CA-47,Toss-up,Lean Democratic,Lean Democratic,0,2,2,1.333333333,2022
CA-48,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2022
CA-49,Toss-up,Lean Democratic,Lean Democratic,0,2,2,1.333333333,2022
CA-50,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2022
CA-51,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2022
CA-52,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2022
CO-01,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2022
CO-02,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2022
CO-03,Solid Republican,Solid Republican,Likely Republican,-4,-4,-3,-3.666666667,2022
CO-04,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2022
CO-05,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2022
CO-06,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2022
CO-07,Likely Democratic,Likely Democratic,Lean Democratic,3,3,2,2.666666667,2022
CO-08,Toss-up,Toss-up,Toss-up,0,0,0,0,2022
CT-01,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2022
CT-02,Likely Democratic,Solid Democratic,Likely Democratic,3,4,3,3.333333333,2022
CT-03,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2022
CT-04,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2022
CT-05,Toss-up,Lean Democratic,Lean Democratic,0,2,2,1.333333333,2022
DE-01,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2022
FL-01,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2022
FL-02,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2022
FL-03,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2022
FL-04,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2022
FL-05,Solid Republican,Likely Republican,Safe Republican,-4,-3,-4,-3.666666667,2022
FL-06,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2022
FL-07,Solid Republican,Likely Republican,Safe Republican,-4,-3,-4,-3.666666667,2022
FL-08,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2022
FL-09,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2022
FL-10,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2022
FL-11,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2022
FL-12,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2022
FL-13,Likely Republican,Likely Republican,Likely Republican,-3,-3,-3,-3,2022
FL-14,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2022
FL-15,Likely Republican,Likely Republican,Likely Republican,-3,-3,-3,-3,2022
FL-16,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2022
FL-17,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2022
FL-18,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2022
FL-19,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2022
FL-20,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2022
FL-21,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2022
FL-22,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2022
FL-23,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2022
FL-24,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2022
FL-25,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2022
FL-26,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2022
FL-27,Lean Republican,Likely Republican,Likely Republican,-2,-3,-3,-2.666666667,2022
FL-28,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2022
GA-01,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2022
GA-02,Likely Democratic,Solid Democratic,Likely Democratic,3,4,3,3.333333333,2022
GA-03,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2022
GA-04,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2022
GA-05,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2022
GA-06,Solid Republican,Likely Republican,Safe Republican,-4,-3,-4,-3.666666667,2022
GA-07,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2022
GA-08,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2022
GA-09,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2022
GA-10,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2022
GA-11,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2022
GA-12,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2022
GA-13,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2022
GA-14,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2022
HI-01,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2022
HI-02,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2022
IA-01,Lean Republican,Lean Republican,Likely Republican,-2,-2,-3,-2.333333333,2022
IA-02,Lean Republican,Tilt Republican,Likely Republican,-2,-1,-3,-2,2022
IA-03,Lean Republican,Toss-up,Lean Republican,-2,0,-2,-1.333333333,2022
IA-04,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2022
ID-01,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2022
ID-02,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2022
IL-01,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2022
IL-02,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2022
IL-03,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2022
IL-04,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2022
IL-05,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2022
IL-06,Lean Democratic,Likely Democratic,Likely Democratic,2,3,3,2.666666667,2022
IL-07,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2022
IL-08,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2022
IL-09,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2022
IL-10,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2022
IL-11,Likely Democratic,Solid Democratic,Likely Democratic,3,4,3,3.333333333,2022
IL-12,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2022
IL-13,Lean Democratic,Lean Democratic,Lean Democratic,2,2,2,2,2022
IL-14,Lean Democratic,Likely Democratic,Lean Democratic,2,3,2,2.333333333,2022
IL-15,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2022
IL-16,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2022
