year,state,district,inside_descrip,inside_code,description,cook_code,mean_rating
2010,AL,1,Currently Safe Republican,-4,NA,NA,-4
2010,AL,2,Toss-up/Tilt Republican,-1,NA,NA,-1
2010,AL,3,Currently Safe Republican,-4,NA,NA,-4
2010,AL,4,Currently Safe Republican,-4,NA,NA,-4
2010,AL,5,Currently Safe Republican,-4,NA,NA,-4
2010,AL,6,Currently Safe Republican,-4,NA,NA,-4
2010,AL,7,Currently Safe Democrat,4,NA,NA,4
2010,AK,0,Currently Safe Republican,-4,NA,NA,-4
2010,AZ,1,Lean Republican,-2,NA,NA,-2
2010,AZ,2,Currently Safe Republican,-4,NA,NA,-4
2010,AZ,3,Currently Safe Republican,-4,NA,NA,-4
2010,AZ,4,Currently Safe Democrat,4,NA,NA,4
2010,AZ,5,Toss-up/Tilt Republican,-1,NA,NA,-1
2010,AZ,6,Currently Safe Republican,-4,NA,NA,-4
2010,AZ,7,Lean Democrat,2,NA,NA,2
2010,AZ,8,Pure Toss-up,0,NA,NA,0
2010,AR,1,Toss-up/Tilt Republican,-1,NA,NA,-1
2010,AR,2,Republican Favored,-3,NA,NA,-3
2010,AR,3,Currently Safe Republican,-4,NA,NA,-4
2010,AR,4,Currently Safe Democrat,4,NA,NA,4
2010,CA,1,Currently Safe Democrat,4,NA,NA,4
2010,CA,2,Currently Safe Republican,-4,NA,NA,-4
2010,CA,3,Lean Republican,-2,NA,NA,-2
2010,CA,4,Currently Safe Republican,-4,NA,NA,-4
2010,CA,5,Currently Safe Democrat,4,NA,NA,4
2010,CA,6,Currently Safe Democrat,4,NA,NA,4
2010,CA,7,Currently Safe Democrat,4,NA,NA,4
2010,CA,8,Currently Safe Democrat,4,NA,NA,4
2010,CA,9,Currently Safe Democrat,4,NA,NA,4
2010,CA,10,Currently Safe Democrat,4,NA,NA,4
2010,CA,11,Pure Toss-up,0,NA,NA,0
2010,CA,12,Currently Safe Democrat,4,NA,NA,4
2010,CA,13,Currently Safe Democrat,4,NA,NA,4
2010,CA,14,Currently Safe Democrat,4,NA,NA,4
2010,CA,15,Currently Safe Democrat,4,NA,NA,4
2010,CA,16,Currently Safe Democrat,4,NA,NA,4
2010,CA,17,Currently Safe Democrat,4,NA,NA,4
2010,CA,18,Currently Safe Democrat,4,NA,NA,4
2010,CA,19,Currently Safe Republican,-4,NA,NA,-4
2010,CA,20,Lean Democrat,2,NA,NA,2
2010,CA,21,Currently Safe Republican,-4,NA,NA,-4
2010,CA,22,Currently Safe Republican,-4,NA,NA,-4
2010,CA,23,Currently Safe Democrat,4,NA,NA,4
2010,CA,24,Currently Safe Republican,-4,NA,NA,-4
2010,CA,25,Currently Safe Republican,-4,NA,NA,-4
2010,CA,26,Currently Safe Republican,-4,NA,NA,-4
2010,CA,27,Currently Safe Democrat,4,NA,NA,4
2010,CA,28,Currently Safe Democrat,4,NA,NA,4
2010,CA,29,Currently Safe Democrat,4,NA,NA,4
2010,CA,30,Currently Safe Democrat,4,NA,NA,4
2010,CA,31,Currently Safe Democrat,4,NA,NA,4
2010,CA,32,Currently Safe Democrat,4,NA,NA,4
2010,CA,33,Currently Safe Democrat,4,NA,NA,4
2010,CA,34,Currently Safe Democrat,4,NA,NA,4
2010,CA,35,Currently Safe Democrat,4,NA,NA,4
2010,CA,36,Currently Safe Democrat,4,NA,NA,4
2010,CA,37,Currently Safe Democrat,4,NA,NA,4
2010,CA,38,Currently Safe Democrat,4,NA,NA,4
2010,CA,39,Currently Safe Democrat,4,NA,NA,4
2010,CA,40,Currently Safe Republican,-4,NA,NA,-4
2010,CA,41,Currently Safe Republican,-4,NA,NA,-4
2010,CA,42,Currently Safe Republican,-4,NA,NA,-4
2010,CA,43,Currently Safe Democrat,4,NA,NA,4
2010,CA,44,Currently Safe Republican,-4,NA,NA,-4
2010,CA,45,Currently Safe Republican,-4,NA,NA,-4
2010,CA,46,Currently Safe Republican,-4,NA,NA,-4
2010,CA,47,Lean Democrat,2,NA,NA,2
2010,CA,48,Currently Safe Republican,-4,NA,NA,-4
2010,CA,49,Currently Safe Republican,-4,NA,NA,-4
2010,CA,50,Currently Safe Republican,-4,NA,NA,-4
