pollster,sample_size,type,dem,rep,bmonth,bday,year,emonth,eday,days_until_election,R_seats,D_seats,Other_seats,winner_party,R_majorvote_pct,D_majorvote_pct,president_party,H_incumbent_party,H_incumbent_party_winner,H_incumbent_party_majorvote_pct,rdi,rdi_change,rdi_change_pct,midterm_year,poll_margin,D_votemargin,poll_vote_diff
CNN/Opinion Research,701,LV,47,45,9,25,2014,9,28,38.5,247,188,0,R,52.91,47.09,D,D,FALSE,47.09,13083.2,365.8000000000011,2.876374101624557,midterm,2,-5.819999999999993,-0.09000000000000341
McClatchy/Marist,884,RV,45,44,9,24,2014,9,29,38.5,247,188,0,R,52.91,47.09,D,D,FALSE,47.09,13083.2,365.8000000000011,2.876374101624557,midterm,1,-5.819999999999993,-2.0900000000000034
FOX News,845,LV,40,47,9,28,2014,9,30,36,247,188,0,R,52.91,47.09,D,D,FALSE,47.09,13083.2,365.8000000000011,2.876374101624557,midterm,-7,-5.819999999999993,-7.090000000000003
CBS News,575,LV,43,49,10,3,2014,10,6,30.5,247,188,0,R,52.91,47.09,D,D,FALSE,47.09,13083.2,365.8000000000011,2.876374101624557,midterm,-6,-5.819999999999993,-4.090000000000003
Reason/Rupe,897.1810303,RV,42,33,10,1,2014,10,6,31.5,247,188,0,R,52.91,47.09,D,D,FALSE,47.09,13083.2,365.8000000000011,2.876374101624557,midterm,9,-5.819999999999993,-5.090000000000003
NBC/WSJ,666,LV,47,48,10,8,2014,10,12,25,247,188,0,R,52.91,47.09,D,D,FALSE,47.09,13083.2,365.8000000000011,2.876374101624557,midterm,-1,-5.819999999999993,-0.09000000000000341
ABC News/Wash Post,629,LV,43,50,10,9,2014,10,12,24.5,247,188,0,R,52.91,47.09,D,D,FALSE,47.09,13083.2,365.8000000000011,2.876374101624557,midterm,-7,-5.819999999999993,-4.090000000000003
FOX News,831,LV,42,45,10,12,2014,10,14,22,247,188,0,R,52.91,47.09,D,D,FALSE,47.09,13083.2,365.8000000000011,2.876374101624557,midterm,-3,-5.819999999999993,-5.090000000000003
Pew Research,1126,LV,47,46,10,15,2014,10,20,17.5,247,188,0,R,52.91,47.09,D,D,FALSE,47.09,13083.2,365.8000000000011,2.876374101624557,midterm,1,-5.819999999999993,-0.09000000000000341
Associated Press/GfK,968,LV,32,40,10,16,2014,10,20,17,247,188,0,R,52.91,47.09,D,D,FALSE,47.09,13083.2,365.8000000000011,2.876374101624557,midterm,-8,-5.819999999999993,-15.090000000000003
Democracy Corps,698,LV,46,46,10,16,2014,10,21,16.5,247,188,0,R,52.91,47.09,D,D,FALSE,47.09,13083.2,365.8000000000011,2.876374101624557,midterm,0,-5.819999999999993,-1.0900000000000034
CNN/Opinion Research,540,LV,47,46,10,24,2014,10,26,10,247,188,0,R,52.91,47.09,D,D,FALSE,47.09,13083.2,365.8000000000011,2.876374101624557,midterm,1,-5.819999999999993,-0.09000000000000341
ABC News/Wash Post,758,LV,44,50,10,23,2014,10,26,10.5,247,188,0,R,52.91,47.09,D,D,FALSE,47.09,13083.2,365.8000000000011,2.876374101624557,midterm,-6,-5.819999999999993,-3.0900000000000034
FOX News,734,LV,45,44,10,25,2014,10,27,9,247,188,0,R,52.91,47.09,D,D,FALSE,47.09,13083.2,365.8000000000011,2.876374101624557,midterm,1,-5.819999999999993,-2.0900000000000034
CBS News,624,LV,42,50,10,23,2014,10,27,10,247,188,0,R,52.91,47.09,D,D,FALSE,47.09,13083.2,365.8000000000011,2.876374101624557,midterm,-8,-5.819999999999993,-5.090000000000003
USA Today/PSRAI,697,LV,43,42,10,23,2014,10,26,10.5,247,188,0,R,52.91,47.09,D,D,FALSE,47.09,13083.2,365.8000000000011,2.876374101624557,midterm,1,-5.819999999999993,-4.090000000000003
NBC News/Wall St. Jrnl,826,LV,48,48,10,30,2014,11,1,4,247,188,0,R,52.91,47.09,D,D,FALSE,47.09,13083.2,365.8000000000011,2.876374101624557,midterm,0,-5.819999999999993,0.9099999999999966
Gallup Poll,1556,NA,56,37,10,18,1960,10,23,18.5,175,262,5,D,45.65,54.35,D,D,TRUE,54.35,2288.3,7.700000000000273,0.3376304481276904,pres,19,8.700000000000003,1.6499999999999986
Gallup Poll,1668,NA,55,38,9,28,1960,10,2,39,175,262,5,D,45.65,54.35,D,D,TRUE,54.35,2288.3,7.700000000000273,0.3376304481276904,pres,17,8.700000000000003,0.6499999999999986
Gallup Poll,1444.310059,NA,56,44,10,1,1962,10,7,33,176,258,5,D,47.13,52.87,D,D,TRUE,52.87,2506.3,34.80000000000018,1.4080517904106804,midterm,12,5.739999999999995,3.1300000000000026
